"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "TypeScript JSX", "PostCSS", "JSON", "XML", "HTML", "Markdown", "Properties", "comment", "blank", "total"
"c:\Users\Σταύρος\Desktop\wrotit\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\Σταύρος\Desktop\wrotit\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 21, 47
"c:\Users\Σταύρος\Desktop\wrotit\craco.config.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\Σταύρος\Desktop\wrotit\package-lock.json", "JSON", 0, 0, 0, 0, 0, 20959, 0, 0, 0, 0, 0, 1, 20960
"c:\Users\Σταύρος\Desktop\wrotit\package.json", "JSON", 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 3, 103
"c:\Users\Σταύρος\Desktop\wrotit\postcss.config.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\Σταύρος\Desktop\wrotit\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 23, 1, 44
"c:\Users\Σταύρος\Desktop\wrotit\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Σταύρος\Desktop\wrotit\src\About.jsx", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Σταύρος\Desktop\wrotit\src\App.css", "PostCSS", 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 4, 29, 148
"c:\Users\Σταύρος\Desktop\wrotit\src\App.jsx", "JavaScript", 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 21, 273
"c:\Users\Σταύρος\Desktop\wrotit\src\App.test.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Σταύρος\Desktop\wrotit\src\CommentCard.jsx", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Σταύρος\Desktop\wrotit\src\Comments.jsx", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 18
"c:\Users\Σταύρος\Desktop\wrotit\src\CreatePost.jsx", "JavaScript", 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26, 216
"c:\Users\Σταύρος\Desktop\wrotit\src\DatePicker.jsx", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Σταύρος\Desktop\wrotit\src\Demo.module.css", "PostCSS", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\Σταύρος\Desktop\wrotit\src\ImageDropzone.jsx", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 106
"c:\Users\Σταύρος\Desktop\wrotit\src\ImageModal.jsx", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Σταύρος\Desktop\wrotit\src\Likes.css", "PostCSS", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 4, 28
"c:\Users\Σταύρος\Desktop\wrotit\src\Likes.jsx", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 94
"c:\Users\Σταύρος\Desktop\wrotit\src\LoggedInfo.jsx", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 99
"c:\Users\Σταύρος\Desktop\wrotit\src\Login.jsx", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 96
"c:\Users\Σταύρος\Desktop\wrotit\src\MyComments.jsx", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Σταύρος\Desktop\wrotit\src\MyDatetimes.jsx", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 63
"c:\Users\Σταύρος\Desktop\wrotit\src\MyLikes.jsx", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 57
"c:\Users\Σταύρος\Desktop\wrotit\src\MyPosts.jsx", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 57
"c:\Users\Σταύρος\Desktop\wrotit\src\Navbar.jsx", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 13, 88
"c:\Users\Σταύρος\Desktop\wrotit\src\Navbar.module.css", "PostCSS", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 9, 63
"c:\Users\Σταύρος\Desktop\wrotit\src\NoComments.css", "PostCSS", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 8, 22
"c:\Users\Σταύρος\Desktop\wrotit\src\NoComments.jsx", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29
"c:\Users\Σταύρος\Desktop\wrotit\src\PostCard.jsx", "JavaScript", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 116
"c:\Users\Σταύρος\Desktop\wrotit\src\Posts.jsx", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\Σταύρος\Desktop\wrotit\src\SearchDemo.jsx", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 45
"c:\Users\Σταύρος\Desktop\wrotit\src\Searchbar.jsx", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 45
"c:\Users\Σταύρος\Desktop\wrotit\src\SelectedPostPage.jsx", "JavaScript", 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18, 191
"c:\Users\Σταύρος\Desktop\wrotit\src\ServersAndSchemas\CommunitySchema.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\Σταύρος\Desktop\wrotit\src\ServersAndSchemas\CommunityServer.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 51
"c:\Users\Σταύρος\Desktop\wrotit\src\ServersAndSchemas\PostModel.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 43
"c:\Users\Σταύρος\Desktop\wrotit\src\ServersAndSchemas\PostServer.js", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 134
"c:\Users\Σταύρος\Desktop\wrotit\src\ServersAndSchemas\UserModel.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
"c:\Users\Σταύρος\Desktop\wrotit\src\ServersAndSchemas\UserServer.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16, 107
"c:\Users\Σταύρος\Desktop\wrotit\src\Share.jsx", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 13, 64
"c:\Users\Σταύρος\Desktop\wrotit\src\Signup.jsx", "JavaScript", 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 130
"c:\Users\Σταύρος\Desktop\wrotit\src\TextEditor.jsx", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 59
"c:\Users\Σταύρος\Desktop\wrotit\src\WordsModel.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\WordsServer.js", "JavaScript", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30, 149
"c:\Users\Σταύρος\Desktop\wrotit\src\Wrot.tsx", "TypeScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Σταύρος\Desktop\wrotit\src\declaration.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Σταύρος\Desktop\wrotit\src\firebase\Firebase.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 2, 20
