"filename", "language", "JavaScript", "XML", "JSON", "comment", "blank", "total"
"c:\Users\Σταύρος\Desktop\wrotit\package-lock.json", "JSON", 0, 0, 158, 0, 0, 158
"c:\Users\Σταύρος\Desktop\wrotit\package.json", "JSON", 0, 0, 7, 0, -2, 5
"c:\Users\Σταύρος\Desktop\wrotit\src\App.jsx", "JavaScript", 4, 0, 0, 0, 0, 4
"c:\Users\Σταύρος\Desktop\wrotit\src\LoggedInfo.jsx", "JavaScript", 1, 0, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\Login.jsx", "JavaScript", -3, 0, 0, 1, 0, -2
"c:\Users\Σταύρος\Desktop\wrotit\src\NoComments.jsx", "JavaScript", 1, 0, 0, 0, -1, 0
"c:\Users\Σταύρος\Desktop\wrotit\src\PostCard.jsx", "JavaScript", 6, 0, 0, 0, 2, 8
"c:\Users\Σταύρος\Desktop\wrotit\src\ServersAndSchemas\UserModel.js", "JavaScript", 1, 0, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\ServersAndSchemas\UserServer.js", "JavaScript", 11, 0, 0, 10, 11, 32
"c:\Users\Σταύρος\Desktop\wrotit\src\Share.jsx", "JavaScript", 39, 0, 0, -25, -7, 7
"c:\Users\Σταύρος\Desktop\wrotit\src\Signup.jsx", "JavaScript", 15, 0, 0, 1, 7, 23
"c:\Users\Σταύρος\Desktop\wrotit\src\images\Asset 1.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\images\UserImage\black.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\images\UserImage\blue.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\images\UserImage\burgundy.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\images\UserImage\lime.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\images\UserImage\orange.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\images\UserImage\pink.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\images\UserImage\spiral.svg", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\images\copy.svg", "XML", 0, 29, 0, 1, 0, 30
"c:\Users\Σταύρος\Desktop\wrotit\src\images\no-comments.svg", "XML", 0, 250, 0, 1, 1, 252
"c:\Users\Σταύρος\Desktop\wrotit\src\images\savedpost.svg", "XML", 0, 5, 0, 0, 0, 5
"c:\Users\Σταύρος\Desktop\wrotit\src\images\unsavedpost.svg", "XML", 0, 6, 0, 0, 0, 6
"Total", "-", 75, 298, 165, -11, 11, 538
