"filename", "language", "JavaScript JSX", "PostCSS", "XML", "TypeScript JSX", "JSON", "JavaScript", "TypeScript", "comment", "blank", "total"
"c:\Users\Σταύρος\Desktop\wrotit\package-lock.json", "JSON", 0, 0, 0, 0, 133, 0, 0, 0, 0, 133
"c:\Users\Σταύρος\Desktop\wrotit\package.json", "JSON", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\Σταύρος\Desktop\wrotit\src\About.jsx", "JavaScript", 0, 0, 0, 0, 0, -14, 0, 0, -1, -15
"c:\Users\Σταύρος\Desktop\wrotit\src\App.jsx", "JavaScript JSX", 15, 0, 0, 0, 0, 0, 0, 7, 4, 26
"c:\Users\Σταύρος\Desktop\wrotit\src\ChangeUserImage.jsx", "JavaScript JSX", 51, 0, 0, 0, 0, 0, 0, 2, 2, 55
"c:\Users\Σταύρος\Desktop\wrotit\src\CommentCard.jsx", "JavaScript", 0, 0, 0, 0, 0, -17, 0, 0, -3, -20
"c:\Users\Σταύρος\Desktop\wrotit\src\Comments.jsx", "JavaScript", 0, 0, 0, 0, 0, -12, 0, -1, -5, -18
"c:\Users\Σταύρος\Desktop\wrotit\src\CreatePost.jsx", "JavaScript", 0, 0, 0, 0, 0, -189, 0, -1, -26, -216
"c:\Users\Σταύρος\Desktop\wrotit\src\Header\Login.jsx", "JavaScript JSX", 88, 0, 0, 0, 0, 0, 0, 1, 5, 94
"c:\Users\Σταύρος\Desktop\wrotit\src\Header\Searchbar.jsx", "JavaScript JSX", 30, 0, 0, 0, 0, 0, 0, 5, 10, 45
"c:\Users\Σταύρος\Desktop\wrotit\src\Header\Signup.jsx", "JavaScript JSX", 139, 0, 0, 0, 0, 0, 0, 1, 13, 153
"c:\Users\Σταύρος\Desktop\wrotit\src\Header\Wrot.tsx", "TypeScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"c:\Users\Σταύρος\Desktop\wrotit\src\Header\isLoggedIn.jsx", "JavaScript JSX", 5, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\Σταύρος\Desktop\wrotit\src\ImageDropzone.jsx", "JavaScript", 0, 0, 0, 0, 0, -93, 0, -1, -12, -106
"c:\Users\Σταύρος\Desktop\wrotit\src\ImageModal.jsx", "JavaScript", 0, 0, 0, 0, 0, -8, 0, 0, -2, -10
"c:\Users\Σταύρος\Desktop\wrotit\src\Likes.css", "PostCSS", 0, -22, 0, 0, 0, 0, 0, -2, -4, -28
"c:\Users\Σταύρος\Desktop\wrotit\src\Likes.jsx", "JavaScript", 0, 0, 0, 0, 0, -82, 0, 0, -12, -94
"c:\Users\Σταύρος\Desktop\wrotit\src\LoggedInfo.jsx", "JavaScript", 0, 0, 0, 0, 0, -82, 0, -2, -16, -100
"c:\Users\Σταύρος\Desktop\wrotit\src\LoggedInfo\CommunityCreator.jsx", "JavaScript JSX", 255, 0, 0, 0, 0, 0, 0, 0, 18, 273
"c:\Users\Σταύρος\Desktop\wrotit\src\LoggedInfo\CommunityPreview.jsx", "JavaScript JSX", 76, 0, 0, 0, 0, 0, 0, 0, 6, 82
"c:\Users\Σταύρος\Desktop\wrotit\src\LoggedInfo\LoggedInfo.jsx", "JavaScript JSX", 88, 0, 0, 0, 0, 0, 0, 17, 20, 125
"c:\Users\Σταύρος\Desktop\wrotit\src\LoggedInfo\MyComments.jsx", "JavaScript JSX", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Σταύρος\Desktop\wrotit\src\LoggedInfo\MyLikes.jsx", "JavaScript JSX", 50, 0, 0, 0, 0, 0, 0, 2, 5, 57
"c:\Users\Σταύρος\Desktop\wrotit\src\LoggedInfo\MyPosts.jsx", "JavaScript JSX", 50, 0, 0, 0, 0, 0, 0, 2, 5, 57
"c:\Users\Σταύρος\Desktop\wrotit\src\Login.jsx", "JavaScript", 0, 0, 0, 0, 0, -88, 0, -1, -5, -94
"c:\Users\Σταύρος\Desktop\wrotit\src\MyComments.jsx", "JavaScript", 0, 0, 0, 0, 0, -5, 0, 0, -1, -6
"c:\Users\Σταύρος\Desktop\wrotit\src\MyDatetimes.jsx", "JavaScript JSX", -2, 0, 0, 0, 0, 0, 0, 2, 0, 0
"c:\Users\Σταύρος\Desktop\wrotit\src\MyLikes.jsx", "JavaScript", 0, 0, 0, 0, 0, -50, 0, -2, -5, -57
"c:\Users\Σταύρος\Desktop\wrotit\src\MyPosts.jsx", "JavaScript", 0, 0, 0, 0, 0, -50, 0, -2, -5, -57
"c:\Users\Σταύρος\Desktop\wrotit\src\NavBar\About.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
