"filename", "language", "JSON with Comments", "JavaScript JSX", "TypeScript", "JSON", "PostCSS", "TypeScript JSX", "XML", "Markdown", "Properties", "HTML", "comment", "blank", "total"
"c:\Users\Σταύρος\Desktop\wrotit\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 1, 5
"c:\Users\Σταύρος\Desktop\wrotit\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 20, 48
"c:\Users\Σταύρος\Desktop\wrotit\craco.config.js", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\Σταύρος\Desktop\wrotit\package-lock.json", "JSON", 0, 0, 0, 19939, 0, 0, 0, 0, 0, 0, 0, 1, 19940
"c:\Users\Σταύρος\Desktop\wrotit\package.json", "JSON", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 1, 122
"c:\Users\Σταύρος\Desktop\wrotit\postcss.config.js", "JavaScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\Σταύρος\Desktop\wrotit\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\Σταύρος\Desktop\wrotit\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Σταύρος\Desktop\wrotit\src\App.css", "PostCSS", 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 4, 29, 148
"c:\Users\Σταύρος\Desktop\wrotit\src\App.jsx", "JavaScript JSX", 0, 254, 0, 0, 0, 0, 0, 0, 0, 0, 27, 26, 307
"c:\Users\Σταύρος\Desktop\wrotit\src\App.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Σταύρος\Desktop\wrotit\src\ChangeUserImage.jsx", "JavaScript JSX", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 55
"c:\Users\Σταύρος\Desktop\wrotit\src\DatePicker.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Σταύρος\Desktop\wrotit\src\Demo.module.css", "PostCSS", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\Σταύρος\Desktop\wrotit\src\Header\Login.jsx", "JavaScript JSX", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 96
"c:\Users\Σταύρος\Desktop\wrotit\src\Header\Searchbar.jsx", "JavaScript JSX", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 118
"c:\Users\Σταύρος\Desktop\wrotit\src\Header\Signup.jsx", "JavaScript JSX", 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 153
"c:\Users\Σταύρος\Desktop\wrotit\src\Header\Wrot.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Σταύρος\Desktop\wrotit\src\Header\isLoggedIn.jsx", "JavaScript JSX", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\Σταύρος\Desktop\wrotit\src\LoggedInfo\CommunityCreator.jsx", "JavaScript JSX", 0, 286, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 301
"c:\Users\Σταύρος\Desktop\wrotit\src\LoggedInfo\CommunityInfo.jsx", "JavaScript JSX", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 124
"c:\Users\Σταύρος\Desktop\wrotit\src\LoggedInfo\CommunityPreview.jsx", "JavaScript JSX", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 86
"c:\Users\Σταύρος\Desktop\wrotit\src\LoggedInfo\FlagPills.jsx", "JavaScript JSX", 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16, 172
"c:\Users\Σταύρος\Desktop\wrotit\src\LoggedInfo\LoggedInfo.jsx", "JavaScript JSX", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 17, 20, 125
"c:\Users\Σταύρος\Desktop\wrotit\src\LoggedInfo\MyComments.jsx", "JavaScript JSX", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Σταύρος\Desktop\wrotit\src\LoggedInfo\MyLikes.jsx", "JavaScript JSX", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 57
"c:\Users\Σταύρος\Desktop\wrotit\src\LoggedInfo\MyPosts.jsx", "JavaScript JSX", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 57
"c:\Users\Σταύρος\Desktop\wrotit\src\MyDatetimes.jsx", "JavaScript JSX", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 63
"c:\Users\Σταύρος\Desktop\wrotit\src\NavBar\About.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Σταύρος\Desktop\wrotit\src\NavBar\Navbar.jsx", "JavaScript JSX", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 26, 19, 127
"c:\Users\Σταύρος\Desktop\wrotit\src\NavBar\Navbar.module.css", "PostCSS", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 9, 63
"c:\Users\Σταύρος\Desktop\wrotit\src\NavBar\NavbarCommunities\Communities.jsx", "JavaScript JSX", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 68
"c:\Users\Σταύρος\Desktop\wrotit\src\NavBar\NavbarCommunities\SearchCommunities.jsx", "JavaScript JSX", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"c:\Users\Σταύρος\Desktop\wrotit\src\NavBar\NavbarCommunities\SelectedCommunity.jsx", "JavaScript JSX", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 24, 7, 120
"c:\Users\Σταύρος\Desktop\wrotit\src\Post Creation\CreatePost.jsx", "JavaScript JSX", 0, 324, 0, 0, 0, 0, 0, 0, 0, 0, 31, 33, 388
"c:\Users\Σταύρος\Desktop\wrotit\src\Post Creation\ImageDropzone.jsx", "JavaScript JSX", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 114
"c:\Users\Σταύρος\Desktop\wrotit\src\Post Creation\ImageModal.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\CommentCard.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\Comments.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 18
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\ImageCarousel.jsx", "JavaScript JSX", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 90
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\Likes.css", "PostCSS", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 4, 28
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\Likes.jsx", "JavaScript JSX", 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 117
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\NoComments.css", "PostCSS", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 8, 22
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\NoComments.jsx", "JavaScript JSX", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\PostCard.jsx", "JavaScript JSX", 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 186
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\Posts.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\SelectedImage.jsx", "JavaScript JSX", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\SelectedPostPage.jsx", "JavaScript JSX", 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 9, 22, 202
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\Share.jsx", "JavaScript JSX", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 72
"c:\Users\Σταύρος\Desktop\wrotit\src\SearchDemo.jsx", "JavaScript JSX", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 45
"c:\Users\Σταύρος\Desktop\wrotit\src\SearchTermInSearchbar.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Σταύρος\Desktop\wrotit\src\TextEditor.jsx", "JavaScript JSX", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 59
"c:\Users\Σταύρος\Desktop\wrotit\src\WordsModel.js", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\WordsServer.js", "JavaScript JSX", 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30, 149
"c:\Users\Σταύρος\Desktop\wrotit\src\backend\ServersAndSchemas\CommunitySchema.js", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 26
"c:\Users\Σταύρος\Desktop\wrotit\src\backend\ServersAndSchemas\CommunityServer.js", "JavaScript JSX", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 77
"c:\Users\Σταύρος\Desktop\wrotit\src\backend\ServersAndSchemas\PostModel.js", "JavaScript JSX", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 44
"c:\Users\Σταύρος\Desktop\wrotit\src\backend\ServersAndSchemas\PostServer.js", "JavaScript JSX", 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17, 148
"c:\Users\Σταύρος\Desktop\wrotit\src\backend\ServersAndSchemas\UserModel.js", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 19
"c:\Users\Σταύρος\Desktop\wrotit\src\backend\ServersAndSchemas\UserServer.js", "JavaScript JSX", 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 22, 23, 192
"c:\Users\Σταύρος\Desktop\wrotit\src\declaration.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Σταύρος\Desktop\wrotit\src\images\Asset 1.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\images\UserImage\black.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\images\UserImage\blue.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\images\UserImage\burgundy.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\images\UserImage\lime.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\images\UserImage\orange.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\images\UserImage\pink.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\images\UserImage\spiral.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\images\chat.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Σταύρος\Desktop\wrotit\src\images\checked.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Σταύρος\Desktop\wrotit\src\images\communities.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"c:\Users\Σταύρος\Desktop\wrotit\src\images\copy.svg", "XML", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 1, 0, 30
"c:\Users\Σταύρος\Desktop\wrotit\src\images\dislike.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Σταύρος\Desktop\wrotit\src\images\facebook-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\images\gear-spinner.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\images\google-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\images\home.svg", "XML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 0, 14
"c:\Users\Σταύρος\Desktop\wrotit\src\images\imageDefault.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Σταύρος\Desktop\wrotit\src\images\light-switch-off-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Σταύρος\Desktop\wrotit\src\images\light-switch-on-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Σταύρος\Desktop\wrotit\src\images\like.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Σταύρος\Desktop\wrotit\src\images\linkedin.svg", "XML", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 1, 24
"c:\Users\Σταύρος\Desktop\wrotit\src\images\next.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 0, 11
"c:\Users\Σταύρος\Desktop\wrotit\src\images\no-comments.svg", "XML", 0, 0, 0, 0, 0, 0, 250, 0, 0, 0, 1, 1, 252
"c:\Users\Σταύρος\Desktop\wrotit\src\images\previous.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 0, 11
"c:\Users\Σταύρος\Desktop\wrotit\src\images\savedpost.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
