"filename", "language", "JavaScript JSX", "PostCSS", "TypeScript JSX", "JSON", "comment", "blank", "total"
"c:\Users\Σταύρος\Desktop\wrotit\package-lock.json", "JSON", 0, 0, 0, 4, 0, 0, 4
"c:\Users\Σταύρος\Desktop\wrotit\package.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\Header\Searchbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Σταύρος\Desktop\wrotit\src\LoggedInfo\CommunityInfo.jsx", "JavaScript JSX", 24, 0, 0, 0, 0, -1, 23
"c:\Users\Σταύρος\Desktop\wrotit\src\LoggedInfo\LoggedInfo.jsx", "JavaScript JSX", -13, 0, 0, 0, -1, -4, -18
"c:\Users\Σταύρος\Desktop\wrotit\src\NavBar\NavbarCommunities\SelectedCommunity.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 4, 4
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\ImageCarousel.jsx", "JavaScript JSX", -22, 0, 0, 0, 3, 1, -18
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\Post.module.css", "PostCSS", 0, 8, 0, 0, 0, 1, 9
"c:\Users\Σταύρος\Desktop\wrotit\src\PostPage\PostCard.jsx", "JavaScript JSX", 11, 0, 0, 0, 0, 7, 18
"c:\Users\Σταύρος\Desktop\wrotit\src\backend\ServersAndSchemas\UserModel.js", "JavaScript JSX", 2, 0, 0, 0, 0, 0, 2
"c:\Users\Σταύρος\Desktop\wrotit\src\backend\ServersAndSchemas\UserServer.js", "JavaScript JSX", 42, 0, 0, 0, 0, 2, 44
"c:\Users\Σταύρος\Desktop\wrotit\src\index.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, -1, 0
"Total", "-", 44, 8, 1, 5, 2, 10, 70
