"filename", "language", "TypeScript", "JavaScript JSX", "JSON with Comments", "JSON", "PostCSS", "TypeScript JSX", "XML", "Markdown", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\Σταύρος\Desktop\wrotit\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 1, 7
"c:\Users\Σταύρος\Desktop\wrotit\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 20, 48
"c:\Users\Σταύρος\Desktop\wrotit\craco.config.js", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\Σταύρος\Desktop\wrotit\package-lock.json", "JSON", 0, 0, 0, 19956, 0, 0, 0, 0, 0, 0, 0, 1, 19957
"c:\Users\Σταύρος\Desktop\wrotit\package.json", "JSON", 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 1, 124
"c:\Users\Σταύρος\Desktop\wrotit\postcss.config.js", "JavaScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\Σταύρος\Desktop\wrotit\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 23, 1, 44
"c:\Users\Σταύρος\Desktop\wrotit\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Σταύρος\Desktop\wrotit\src\App.css", "PostCSS", 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 4, 29, 148
"c:\Users\Σταύρος\Desktop\wrotit\src\App.jsx", "JavaScript JSX", 0, 339, 0, 0, 0, 0, 0, 0, 0, 0, 65, 19, 423
"c:\Users\Σταύρος\Desktop\wrotit\src\App.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Σταύρος\Desktop\wrotit\src\ChangeUserImage.jsx", "JavaScript JSX", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 55
"c:\Users\Σταύρος\Desktop\wrotit\src\DatePicker.jsx", "JavaScript JSX", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Σταύρος\Desktop\wrotit\src\Demo.module.css", "PostCSS", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\Σταύρος\Desktop\wrotit\src\Header\Login.jsx", "JavaScript JSX", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 14, 8, 134
"c:\Users\Σταύρος\Desktop\wrotit\src\Header\Searchbar.jsx", "JavaScript JSX", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 129
"c:\Users\Σταύρος\Desktop\wrotit\src\Header\Signup.jsx", "JavaScript JSX", 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 155
"c:\Users\Σταύρος\Desktop\wrotit\src\Header\Wrot.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Σταύρος\Desktop\wrotit\src\Header\isLoggedIn.jsx", "JavaScript JSX", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\Σταύρος\Desktop\wrotit\src\LoggedInfo\CommunityCreator.jsx", "JavaScript JSX", 0, 287, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 302
"c:\Users\Σταύρος\Desktop\wrotit\src\LoggedInfo\CommunityInfo.jsx", "JavaScript JSX", 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 147
"c:\Users\Σταύρος\Desktop\wrotit\src\LoggedInfo\CommunityPreview.jsx", "JavaScript JSX", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 86
